case_id,scene,agent_status,agent_steps,test_case_id,execution_id,execution_status,first_pass_success,self_heal_triggered,self_heal_count,healed,final_success,elapsed_seconds,error_summary,prompt,tool_calls
C-TABLE-03,table,max_steps_reached,15,605aeff8-5451-4394-8327-1d79dfdbf96c,,missing,False,False,0,False,False,239.26,,"Open the local app, log in as admin, go to the Example Table page, and assert that the Element UI table container is displayed.",search_knowledge -> generate_selenium_script -> search_knowledge -> generate_selenium_script -> search_memory -> search_knowledge -> generate_selenium_script -> search_knowledge -> generate_selenium_script -> search_knowledge -> search_knowledge -> search_knowledge -> search_knowledge -> search_knowledge -> search_knowledge
C-TABLE-04,table,max_steps_reached,15,be3e6530-b58a-4327-82c8-f37d58162a8d,74d33cde-87ed-4762-bd69-6607459b2efe,completed,True,False,0,False,True,196.94,Login form filled successfully,Use Selenium to log in and verify the table page at http://localhost:9528/example/table contains the Status column.,search_knowledge -> generate_selenium_script -> search_memory -> search_knowledge -> search_knowledge -> search_knowledge -> search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> search_memory -> search_knowledge -> get_execution_result -> search_knowledge
C-FORM-01,form,max_steps_reached,15,89ace6b5-16c9-4af9-b2e9-2bc064203cb4,009afa3e-9ba2-41df-a293-e7717fd21217,completed,True,False,0,False,True,223.52,Test Completed,"Log in to http://localhost:9528/login with admin / 111111, open http://localhost:9528/form/index, fill Activity name with Test Activity, and verify that the form page remains visible.",search_knowledge -> generate_selenium_script -> search_knowledge -> search_knowledge -> search_knowledge -> search_knowledge -> search_knowledge -> search_knowledge -> search_memory -> search_knowledge -> search_knowledge -> search_knowledge -> generate_selenium_script -> execute_script -> get_execution_result
C-FORM-02,form,max_steps_reached,15,3c1ce178-bfbd-4e5c-bee7-d6ab188bde18,e9e20e2e-730c-4d07-8303-47b92c9663dc,failed,False,False,0,False,False,242.45,"Traceback (most recent call last):   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\runs\e9e20e2e-730c-4d07-8303-47b92c9663dc\initial\generated_test.py"", line 32, in <module>     WebDriverWait(driver, 10).until(   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\.venv\Lib\site-packages\selenium\webdriver\support\wait.py"", line 121, in until     raise TimeoutException(message, screen, stacktrace) selenium.common.exceptions.TimeoutException: Message:","After admin login, navigate to /form/index, wait for the Activity name input, type UI automation test, and verify the value is entered.",search_knowledge -> generate_selenium_script -> search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> search_knowledge -> generate_selenium_script -> search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result
C-FORM-03,form,max_steps_reached,15,4485415d-6212-4cb1-8a4c-b323e368d38f,b25ac1b2-afcf-4b30-b6f5-7e704548334c,failed,False,False,0,False,False,200.52,"Traceback (most recent call last):   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\runs\b25ac1b2-afcf-4b30-b6f5-7e704548334c\initial\generated_test.py"", line 11, in <module>     driver.get(""http://localhost:9527"")   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\.venv\Lib\site-packages\selenium\webdriver\remote\webdriver.py"", line 452, in get     self.execute(Command.GET, {""url"": url})   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Bac","Open the local vue-admin-template form page after login and verify that labels Activity name, Activity zone, and Resources are displayed.",search_knowledge -> search_knowledge -> generate_selenium_script -> generate_selenium_script -> search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> search_memory -> diagnose_failure
C-FORM-04,form,max_steps_reached,15,e9322d85-e29a-4b7c-8801-da18d3f82b61,2eeb204a-2bbd-44bd-b93b-a2cef35a9f1c,failed,False,False,0,False,False,194.05,"Traceback (most recent call last):   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\runs\2eeb204a-2bbd-44bd-b93b-a2cef35a9f1c\initial\generated_test.py"", line 37, in <module>     wait.until(EC.presence_of_element_located((By.CSS_SELECTOR, ""form.el-form"")))   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\.venv\Lib\site-packages\selenium\webdriver\support\wait.py"", line 121, in until     raise TimeoutException(message, screen, stacktrace) selenium.commo","Log in, open http://localhost:9528/form/index, toggle Instant delivery, and verify the Element UI form is still displayed.",search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> search_knowledge -> search_knowledge -> search_knowledge -> search_memory -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result
C-NAV-01,navigation,max_steps_reached,15,e85a2482-0ae6-4e6d-ae17-6b5f33e0deb6,f36b3421-f339-43d1-9a0d-1a4f1257be0a,failed,False,False,0,False,False,209.12,"Traceback (most recent call last):   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\runs\f36b3421-f339-43d1-9a0d-1a4f1257be0a\initial\generated_test.py"", line 41, in <module>     table = WebDriverWait(driver, 10).until(             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\.venv\Lib\site-packages\selenium\webdriver\support\wait.py"", line 121, in until     raise TimeoutException(message, screen, stacktrace) seleni","Log in to the local app, open http://localhost:9528/dashboard, then navigate to http://localhost:9528/example/table and verify the table page.",search_knowledge -> generate_selenium_script -> search_knowledge -> search_knowledge -> search_knowledge -> validate_code -> search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result
C-NAV-02,navigation,max_steps_reached,15,6ec37c44-2616-4197-bcaa-1cf95e32816b,7f0867db-81d9-4c8e-9139-2e5415353177,failed,False,False,0,False,False,235.97,"Traceback (most recent call last):   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\runs\7f0867db-81d9-4c8e-9139-2e5415353177\initial\generated_test.py"", line 11, in <module>     driver.get(""http://localhost:9527"")   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\.venv\Lib\site-packages\selenium\webdriver\remote\webdriver.py"", line 452, in get     self.execute(Command.GET, {""url"": url})   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Bac","After logging in, navigate between Dashboard and Example Table in the local vue-admin-template app, and verify each page has a stable visible anchor.",search_knowledge -> generate_selenium_script -> generate_selenium_script -> validate_code -> search_knowledge -> search_knowledge -> search_knowledge -> generate_selenium_script -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> search_knowledge -> search_memory
C-NAV-03,navigation,error,1,,,missing,False,False,0,False,False,61.34,Reasoning failed: LLM request failed.,"Open http://localhost:9528/login, log in, then visit /nested/menu1/menu1-1 and verify the page loads without returning to the login page.",search_knowledge
C-BAIDU-01,baidu_search,error,0,,,missing,False,False,0,False,False,33.46,Reasoning failed: LLM request failed.,"Open https://www.baidu.com, search for DeepSeek, wait for the results page, and verify that at least one result link is visible.",
C-BAIDU-02,baidu_search,max_steps_reached,15,bd62d499-90c5-4790-abf1-7de6bf9db198,08773958-f440-4b71-9740-ad8662999b72,failed,False,False,0,False,False,194.55,"Traceback (most recent call last):   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\runs\08773958-f440-4b71-9740-ad8662999b72\initial\generated_test.py"", line 12, in <module>     search_input = WebDriverWait(driver, 10).until(                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\.venv\Lib\site-packages\selenium\webdriver\support\wait.py"", line 121, in until     raise TimeoutException(message, screen, stac","Use Selenium to open Baidu, input Web UI automation testing in the search box, submit the query, and verify the result container appears.",search_knowledge -> generate_selenium_script -> search_knowledge -> search_knowledge -> search_knowledge -> search_knowledge -> generate_selenium_script -> search_memory -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result
C-BAIDU-03,baidu_search,success,12,9726cab7-279d-4781-a958-5aa60dc60bfa,91fd7615-0342-4d41-b988-9cd0c0ea74d4,completed,True,False,0,False,True,150.29,Test Completed,"Open the Baidu homepage, search for Selenium Python, and confirm that the results page contains visible search results.",search_knowledge -> generate_selenium_script -> search_knowledge -> generate_selenium_script -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> search_memory -> get_execution_result -> get_execution_result
C-BAIDU-04,baidu_search,success,10,bc482476-02ec-47bb-bf8f-f073b414911c,161ab944-a8ec-4199-8bb7-216147dec1d6,completed,True,False,0,False,True,128.61,Test Completed,"Navigate to https://www.baidu.com, search for RAG large language model, and verify that the page shows a results list.",search_knowledge -> generate_selenium_script -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result
C-BAIDU-05,baidu_search,success,15,edfcb4d4-1adb-4d55-bfe7-dafb92e0efe1,d52b2ed0-8812-4c42-9b16-b48c47e34c5c,completed,True,False,0,False,True,216.89,Test Completed,"Open Baidu, type vue admin template into the search input, click the search button, and verify the result area is rendered.",search_knowledge -> generate_selenium_script -> execute_script -> generate_selenium_script -> search_knowledge -> generate_selenium_script -> validate_code -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result
C-BAIDU-06,baidu_search,max_steps_reached,15,ec13f11d-84c3-48ca-adce-9300e754b6f4,d89576bd-f141-4108-ad6c-4471b9d130b6,completed,True,False,0,False,True,327.95,Test Completed,"Search Baidu for ChromeDriver Selenium, wait until the results page is loaded, and print Test Completed when results are visible.",search_knowledge -> generate_selenium_script -> search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> generate_selenium_script -> validate_code -> execute_script -> generate_selenium_script -> generate_selenium_script -> generate_selenium_script -> generate_selenium_script -> validate_code -> execute_script
C-BAIDU-07,baidu_search,max_steps_reached,15,aea35050-1107-4393-b870-92eb459d351a,aba993c2-94af-4d31-a564-79642eea172b,completed,True,False,0,False,True,224.62,Test Completed,"Use Baidu search to query FastAPI Vue, then assert that at least one search result title is displayed.",search_knowledge -> generate_selenium_script -> search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> diagnose_failure -> search_memory -> repair_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> search_memory
C-BAIDU-08,baidu_search,max_steps_reached,15,304473f2-c3ac-4892-988f-a47fd829171a,e5a5ddd1-046c-4532-8cc9-b4e88a58234f,completed,True,False,0,False,True,184.95,Test Completed,"Open https://www.baidu.com, search for Element UI table, and verify the Baidu results container appears.",search_knowledge -> search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> search_knowledge -> generate_selenium_script -> validate_code -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result
C-BAIDU-09,baidu_search,error,0,,,missing,False,False,0,False,False,1055.93,timed out,"Open Baidu, search for automated test self healing, wait for the results, and verify that visible links exist.",
C-BAIDU-10,baidu_search,success,11,315de65f-99bd-43a8-802d-15d4641ce50f,5f43d03e-d862-4897-9e78-3b71fb7ea9df,completed,True,False,0,False,True,290.86,Test Completed,Search Baidu for large language model testing agent and verify that the results page has loaded successfully.,search_knowledge -> search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result
C-LOCAL-01,local_smoke,success,12,fe3f7740-ea92-4015-8325-0b66a1372043,6b5ec716-b1bd-4ac3-8190-0a415edd5251,completed,True,False,0,False,True,110.18,Login form and button are visible Test Completed,Open http://localhost:9528/login and verify that the Login Form and Login button are visible without submitting credentials.,search_knowledge -> generate_selenium_script -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> search_memory -> get_execution_result
